"","Treatment","Tube.","Locate","Date","TotLength.mm.","TotProjArea.mm2.","TotSurfArea.mm2.","TotAvgDiam.mm.10.","TotVolume.mm3.","TotNumberOfTips","Locate2"
"167","cut+manure",6,"9_12","2019.05.31",70.1793,28.3186,88.9655,18.6641,11.585,12,1
"168","cut+manure",6,"13_16","2019.05.31",100.1946,35.4453,111.3544,14.1003,10.539,23,1
"169","cut+manure",6,"17_20","2019.05.31",53.3624,19.6235,61.6492,14.59,5.998,8,1
"170","cut+manure",6,"21_24","2019.05.31",0,0,0,0,0,0,1
"171","cut+manure",6,"25_28","2019.05.31",29.991,12.882,40.47,19.3016,6.586,7,2
"172","cut+manure",6,"29_32","2019.05.31",35.8314,10.763,33.8129,10.2908,3.03,8,2
"173","cut+manure",6,"33_36","2019.05.31",40.5533,10.8032,33.9393,7.8731,2.337,9,2
"174","cut+manure",6,"37_40","2019.05.31",0,0,0,0,0,0,2
"175","cut+manure",6,"41_44","2019.05.31",54.5948,24.2537,76.1954,12.4512,9.075,11,2
"176","cut+manure",16,"1_4","2019.05.28",29.5451,11.6136,36.4851,4.8427,4.405,8,1
"177","cut+manure",16,"5_8","2019.05.28",37.0927,11.6686,36.6577,9.6014,3.177,5,1
"178","cut+manure",16,"9_12","2019.05.28",0.9659,0.3141,0.9869,3.2522,0.08,1,1
"179","cut+manure",16,"13_16","2019.05.28",51.2881,74.0989,232.7889,56.5724,112.115,10,1
"180","cut+manure",16,"17_20","2019.05.28",27.703,56.7584,178.3117,43.9041,116.578,5,1
"181","cut+manure",16,"21_24","2019.05.28",9.6787,2.4772,7.7823,4.5739,0.596,4,1
"182","cut+manure",16,"25_28","2019.05.28",2.7155,1.1376,3.5739,8.3381,0.377,2,2
"183","cut+manure",16,"29_32","2019.05.28",13.7894,4.6063,14.4713,5.5028,1.328,2,2
"184","cut+manure",16,"33_36","2019.05.28",0,0,0,0,0,0,2
"185","cut+manure",16,"37_40","2019.05.28",12.6843,3.3487,10.5201,5.3164,0.715,4,2
"186","cut+manure",16,"41_44","2019.05.28",16.1203,5.9122,18.5738,3.6676,1.854,4,2
"187","cut+manure",16,"45","2019.05.28",0,0,0,0,0,0,2
"188","control",17,"1_4","2019.05.28",77.131,40.9996,128.8041,20.9554,20.353,21,1
"189","control",17,"5_8","2019.05.28",11.8379,7.3909,23.2193,6.2434,3.771,2,1
"190","control",17,"9_12","2019.05.28",37.9623,20.1503,63.3039,16.1581,8.851,3,1
"191","control",17,"13_16","2019.05.28",28.692,17.2262,54.1178,11.9596,9.972,3,1
"192","control",17,"17_20","2019.05.28",0,0,0,0,0,0,1
"193","control",17,"21_24","2019.05.28",0,0,0,0,0,0,1
"194","control",17,"25_28","2019.05.28",0,0,0,0,0,0,2
"195","control",17,"29_32","2019.05.28",1.6846,0.4871,1.5303,2.8915,0.112,1,2
"196","control",17,"33_36","2019.05.28",0,0,0,0,0,0,2
"197","control",17,"37_40","2019.05.28",2.923,0.7922,2.4888,2.7102,0.169,1,2
"198","control",17,"41_44","2019.05.28",0,0,0,0,0,0,2
"199","cut",18,"1_4","2019.05.28",0,0,0,0,0,0,1
"200","cut",18,"5_8","2019.05.28",1.8565,0.3434,1.0787,1.8495,0.051,1,1
"201","cut",18,"9_12","2019.05.28",1.1602,0.2722,0.8551,2.346,0.05,1,1
"202","cut",18,"13_16","2019.05.28",7.4374,1.4352,4.5088,1.9297,0.226,3,1
"203","cut",18,"17_20","2019.05.28",34.711,8.408,26.4146,7.7401,1.957,14,1
"204","cut",18,"21_24","2019.05.28",23.8524,8.0591,25.3184,9.9581,2.186,3,1
"205","cut",18,"25_28","2019.05.28",35.3242,16.5812,52.0916,15.2237,8.335,6,2
"206","cut",18,"29_32","2019.05.28",66.0739,30.2672,95.0872,12.9147,13.406,7,2
"207","cut",18,"33_36","2019.05.28",0,0,0,0,0,0,2
"208","cut",18,"37_40","2019.05.28",0,0,0,0,0,0,2
"209","cut",18,"41_44","2019.05.28",0,0,0,0,0,0,2
"210","control",19,"1_4","2019.05.28",2.8408,1.432,4.4988,5.0409,0.578,1,1
"211","control",19,"5_8","2019.05.28",3.7599,0.9171,2.8812,2.4392,0.176,1,1
"212","control",19,"9_12","2019.05.28",0,0,0,0,0,0,1
"213","control",19,"13_16","2019.05.28",11.7621,2.2314,7.0102,1.8971,0.332,1,1
